tipo_de_empresa,fundação_da_empresa,possui_mais_de_um_sócio,funcionários,meses_de_permanência,utiliza_serviços_financeiros,possuicontador,faz_conciliação_bancária,frequência_de_utilização_de_feature_do_sistema_módulo_financeiro,frequência_de_utilização_de_feature_do_sistema_emissão_de_nota_fiscal,frequência_de_utilização_de_feature_do_sistema_integração_bancária,frequência_de_utilização_de_feature_do_sistema_módulo_de_vendas,frequência_de_utilização_de_feature_do_sistema_relatórios,frequência_de_utilização_de_feature_do_sistema_utilização_de_apis_de_integração,contrato,emite_boletos,tipo_de_pagamento,receita_mensal,receita_total,churn
Pequena empresa,2019,Sim,até 5 funcionários,58,Sim,Sim,manual,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Trimestral,0,Cartão de crédito - mês a mês,100.35,5681.1,Não
Pequena empresa,2021,Não,até 5 funcionários,49,Sim,Sim,manual,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Mês-a-mês,1,Cartão de crédito - pagamento único,103.7,5036.3,Sim
Pequena empresa,2017,Não,até 5 funcionários,25,Sim,Não ,manual,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Mês-a-mês,1,Boleto - pagamento único,105.5,2686.05,Não
Micro empresa,2019,Sim,6 ou mais funcionários,69,Sim,Sim,manual,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Anual,0,Cartão de crédito - mês a mês,113.25,7895.15,Não
Micro empresa,2017,Não,até 5 funcionários,52,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Trimestral,0,Boleto - mês a mês,20.65,1022.95,Não
Pequena empresa,2017,Não,6 ou mais funcionários,71,Sim,Sim,manual,Uso frequente,Pouco uso,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Anual,0,Cartão de crédito - pagamento único,106.7,7382.25,Não
Micro empresa,2017,Sim,6 ou mais funcionários,10,Sim,Não ,automática,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Mês-a-mês,0,Cartão de crédito - mês a mês,55.2,528.35,Sim
Micro empresa,2016,Não,até 5 funcionários,21,Sim,Não ,manual,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Mês-a-mês,1,Boleto - pagamento único,90.05,1862.9,Não
Pequena empresa,2011,Não,até 5 funcionários,1,Não,,automática,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Mês-a-mês,1,Boleto - pagamento único,39.65,39.65,Sim
Pequena empresa,2021,Sim,até 5 funcionários,12,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Trimestral,0,Cartão de crédito - pagamento único,19.8,202.25,Não
Pequena empresa,2018,Não,até 5 funcionários,1,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Mês-a-mês,0,Boleto - mês a mês,20.15,20.15,Sim
Micro empresa,2019,Sim,até 5 funcionários,58,Sim,Sim,automática,Pouco uso,Uso frequente,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Anual,1,Cartão de crédito - mês a mês,59.9,3505.1,Não
Pequena empresa,2016,Sim,6 ou mais funcionários,49,Sim,Não ,automática,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Mês-a-mês,0,Cartão de crédito - mês a mês,59.6,2970.3,Não
Micro empresa,2021,Não,até 5 funcionários,30,Sim,Não ,automática,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,1,Cartão de crédito - pagamento único,55.3,1530.6,Não
Pequena empresa,2020,Sim,6 ou mais funcionários,47,Sim,Sim,manual,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Mês-a-mês,1,Boleto - pagamento único,99.35,4749.15,Sim
Pequena empresa,2021,Sim,6 ou mais funcionários,1,Não,,automática,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,0,Boleto - pagamento único,30.2,30.2,Sim
Pequena empresa,2016,Sim,até 5 funcionários,72,Sim,Sim,automática,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Anual,1,Cartão de crédito - mês a mês,90.25,6369.45,Não
Micro empresa,2018,Não,6 ou mais funcionários,17,Sim,Não ,automática,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Mês-a-mês,1,Boleto - mês a mês,64.7,1093.1,Sim
Micro empresa,2008,Sim,até 5 funcionários,71,Sim,Sim,manual,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Anual,1,Cartão de crédito - mês a mês,96.35,6766.95,Não
Pequena empresa,2005,Sim,até 5 funcionários,2,Sim,Não ,manual,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Mês-a-mês,1,Cartão de crédito - mês a mês,95.5,181.65,Não
Micro empresa,2020,Sim,6 ou mais funcionários,27,Sim,Não ,automática,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Trimestral,0,Boleto - mês a mês,66.15,1874.45,Não
Pequena empresa,2018,Não,até 5 funcionários,1,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Mês-a-mês,0,Cartão de crédito - pagamento único,20.2,20.2,Não
Pequena empresa,2004,Não,até 5 funcionários,1,Sim,Não ,automática,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,0,Cartão de crédito - pagamento único,45.25,45.25,Não
Micro empresa,2019,Sim,6 ou mais funcionários,72,Sim,Sim,manual,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Anual,0,Cartão de crédito - pagamento único,99.9,7251.7,Não
Pequena empresa,2016,Não,até 5 funcionários,5,Sim,Não ,manual,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,1,Boleto - pagamento único,69.7,316.9,Sim
Micro empresa,2021,Não,até 5 funcionários,46,Sim,Não ,manual,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,1,Cartão de crédito - mês a mês,74.8,3548.3,Não
Pequena empresa,2018,Não,até 5 funcionários,34,Sim,Sim,manual,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Mês-a-mês,1,Boleto - pagamento único,106.35,3549.25,Sim
Micro empresa,2021,Não,até 5 funcionários,11,Sim,Sim,manual,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Mês-a-mês,1,Cartão de crédito - pagamento único,97.85,1105.4,Sim
Pequena empresa,2021,Sim,6 ou mais funcionários,10,Sim,Não ,automática,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Trimestral,0,Boleto - mês a mês,49.55,475.7,Não
Micro empresa,2018,Sim,6 ou mais funcionários,70,Sim,Sim,automática,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Anual,1,Cartão de crédito - mês a mês,69.2,4872.35,Não
Micro empresa,2019,Sim,6 ou mais funcionários,17,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Trimestral,0,Boleto - mês a mês,20.75,418.25,Não
Micro empresa,2016,Não,até 5 funcionários,63,Sim,Sim,automática,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Pouco uso,Anual,1,Cartão de crédito - mês a mês,79.85,4861.45,Não
Micro empresa,2019,Sim,até 5 funcionários,13,Sim,Sim,automática,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Mês-a-mês,1,Boleto - pagamento único,76.2,981.45,Não
Micro empresa,2016,Não,até 5 funcionários,49,Sim,Sim,manual,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Mês-a-mês,1,Boleto - pagamento único,84.5,3906.7,Não
Pequena empresa,2017,Não,até 5 funcionários,2,Sim,Não ,automática,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,0,Boleto - mês a mês,49.25,97.0,Não
Micro empresa,2020,Não,até 5 funcionários,2,Sim,Não ,manual,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Mês-a-mês,1,Boleto - pagamento único,80.65,144.15,Sim
Pequena empresa,2021,Não,até 5 funcionários,52,Sim,Sim,automática,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Anual,1,Cartão de crédito - mês a mês,79.75,4217.8,Não
Micro empresa,2019,Sim,6 ou mais funcionários,69,Sim,Sim,automática,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Anual,1,Cartão de crédito - mês a mês,64.15,4254.1,Não
Micro empresa,2011,Não,até 5 funcionários,43,Sim,Sim,manual,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Mês-a-mês,1,Boleto - pagamento único,90.25,3838.75,Não
Micro empresa,2016,Não,até 5 funcionários,15,Sim,Não ,manual,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Mês-a-mês,1,Cartão de crédito - mês a mês,99.1,1426.4,Sim
Micro empresa,2007,Sim,até 5 funcionários,25,Sim,Sim,automática,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Mês-a-mês,1,Cartão de crédito - mês a mês,69.5,1752.65,Não
Micro empresa,2012,Sim,até 5 funcionários,8,Sim,Sim,manual,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,1,Cartão de crédito - mês a mês,80.65,633.3,Sim
Micro empresa,2004,Sim,6 ou mais funcionários,60,Sim,Não ,automática,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Trimestral,1,Cartão de crédito - mês a mês,74.85,4456.35,Não
Pequena empresa,2008,Não,até 5 funcionários,18,Sim,Sim,manual,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Mês-a-mês,1,Boleto - pagamento único,95.45,1752.55,Sim
Micro empresa,2019,Sim,6 ou mais funcionários,63,Sim,Sim,manual,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Trimestral,1,Cartão de crédito - mês a mês,99.65,6311.2,Não
Pequena empresa,2001,Sim,6 ou mais funcionários,66,Sim,Sim,manual,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Trimestral,1,Boleto - pagamento único,108.45,7076.35,Não
Micro empresa,2019,Sim,6 ou mais funcionários,34,Sim,Sim,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Anual,0,Cartão de crédito - mês a mês,24.95,894.3,Não
Micro empresa,2021,Não,até 5 funcionários,72,Sim,Sim,manual,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Anual,1,Cartão de crédito - mês a mês,107.5,7853.7,Não
Micro empresa,2018,Sim,até 5 funcionários,47,Sim,Sim,manual,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Mês-a-mês,1,Boleto - pagamento único,100.5,4707.1,Não
Pequena empresa,2019,Não,até 5 funcionários,60,Sim,Sim,manual,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Mês-a-mês,1,Cartão de crédito - pagamento único,89.9,5450.7,Não
Pequena empresa,2021,Sim,até 5 funcionários,72,Não,,automática,Uso frequente,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Anual,0,Cartão de crédito - pagamento único,42.1,2962.0,Não
Micro empresa,2020,Sim,6 ou mais funcionários,18,Sim,Não ,automática,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Trimestral,1,Cartão de crédito - mês a mês,54.4,957.1,Não
Micro empresa,2017,Não,até 5 funcionários,9,Sim,Sim,manual,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Mês-a-mês,0,Boleto - pagamento único,94.4,857.25,Sim
Micro empresa,2016,Não,até 5 funcionários,3,Sim,Não ,automática,Pouco uso,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Mês-a-mês,1,Boleto - pagamento único,75.3,244.1,Não
Pequena empresa,2019,Sim,até 5 funcionários,47,Sim,Sim,manual,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Trimestral,1,Boleto - pagamento único,78.9,3650.35,Não
Micro empresa,2016,Não,até 5 funcionários,31,Sim,Não ,automática,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Anual,0,Boleto - mês a mês,79.2,2497.2,Não
Micro empresa,2019,Sim,6 ou mais funcionários,50,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Anual,0,Cartão de crédito - pagamento único,20.15,930.9,Não
Pequena empresa,2017,Não,até 5 funcionários,10,Sim,Não ,manual,Uso frequente,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,1,Boleto - mês a mês,79.85,887.35,Não
Pequena empresa,2021,Não,até 5 funcionários,1,Sim,Não ,automática,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Mês-a-mês,0,Boleto - mês a mês,49.05,49.05,Não
Micro empresa,2017,Sim,6 ou mais funcionários,52,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Trimestral,1,Boleto - pagamento único,20.4,1090.65,Não
Pequena empresa,2009,Sim,6 ou mais funcionários,64,Sim,Sim,manual,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Anual,1,Cartão de crédito - pagamento único,111.6,7099.0,Não
Pequena empresa,2018,Sim,6 ou mais funcionários,62,Sim,Sim,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Anual,1,Cartão de crédito - pagamento único,24.25,1424.6,Não
Micro empresa,2021,Não,6 ou mais funcionários,3,Sim,Não ,automática,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Uso frequente,Mês-a-mês,1,Cartão de crédito - pagamento único,64.5,177.4,Não
Micro empresa,2007,Não,até 5 funcionários,56,Sim,Sim,manual,Uso frequente,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Trimestral,0,Boleto - pagamento único,110.5,6139.5,Não
Micro empresa,2020,Não,até 5 funcionários,46,Sim,Não ,automática,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Trimestral,0,Cartão de crédito - mês a mês,55.65,2688.85,Não
Micro empresa,2020,Sim,6 ou mais funcionários,8,Sim,Não ,automática,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,0,Boleto - mês a mês,54.65,482.25,Não
Pequena empresa,2008,Não,até 5 funcionários,30,Sim,Não ,automática,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Mês-a-mês,1,Boleto - pagamento único,74.75,2111.3,Não
Micro empresa,2020,Sim,6 ou mais funcionários,45,Sim,Sim,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Trimestral,1,Cartão de crédito - mês a mês,25.9,1216.6,Não
Micro empresa,2019,Não,6 ou mais funcionários,1,Sim,Não ,manual,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Mês-a-mês,1,Boleto - pagamento único,79.35,79.35,Sim
Micro empresa,2020,Sim,6 ou mais funcionários,11,Não,,automática,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Mês-a-mês,0,Boleto - pagamento único,50.55,565.35,Não
Micro empresa,2018,Sim,até 5 funcionários,7,Sim,Não ,manual,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,1,Cartão de crédito - pagamento único,75.15,496.9,Sim
Micro empresa,2020,Não,até 5 funcionários,42,Sim,Não ,manual,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Mês-a-mês,1,Cartão de crédito - pagamento único,103.8,4327.5,Não
Micro empresa,2016,Sim,até 5 funcionários,49,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Anual,1,Cartão de crédito - pagamento único,20.15,973.35,Não
Pequena empresa,2017,Não,até 5 funcionários,9,Sim,Sim,manual,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Mês-a-mês,1,Cartão de crédito - mês a mês,99.3,918.75,Não
Micro empresa,2020,Sim,até 5 funcionários,35,Sim,Não ,automática,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Trimestral,1,Cartão de crédito - pagamento único,62.15,2215.45,Não
Micro empresa,2017,Sim,6 ou mais funcionários,48,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Anual,0,Cartão de crédito - pagamento único,20.65,1057.0,Não
Micro empresa,2016,Sim,6 ou mais funcionários,46,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Anual,1,Boleto - mês a mês,19.95,927.1,Não
Pequena empresa,2018,Sim,até 5 funcionários,29,Não,,automática,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Mês-a-mês,0,Boleto - mês a mês,33.75,1009.25,Não
Pequena empresa,2021,Sim,6 ou mais funcionários,30,Sim,Não ,manual,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,0,Cartão de crédito - pagamento único,82.05,2570.2,Não
Pequena empresa,2013,Não,até 5 funcionários,1,Sim,Não ,manual,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Mês-a-mês,0,Boleto - pagamento único,74.7,74.7,Não
Pequena empresa,2016,Sim,6 ou mais funcionários,66,Sim,Sim,automática,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Anual,1,Boleto - mês a mês,84.0,5714.25,Não
Micro empresa,2018,Não,até 5 funcionários,65,Sim,Sim,manual,Uso frequente,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Mês-a-mês,1,Cartão de crédito - mês a mês,111.05,7107.0,Não
Pequena empresa,2017,Não,até 5 funcionários,72,Sim,Sim,manual,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Anual,1,Cartão de crédito - pagamento único,100.9,7459.05,Não
Micro empresa,2019,Não,até 5 funcionários,12,Sim,Sim,manual,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,1,Boleto - pagamento único,78.95,927.35,Sim
Pequena empresa,2020,Sim,6 ou mais funcionários,71,Sim,Sim,automática,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Trimestral,1,Cartão de crédito - mês a mês,66.85,4748.7,Não
Pequena empresa,2019,Não,até 5 funcionários,5,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Mês-a-mês,0,Boleto - mês a mês,21.05,113.85,Sim
Pequena empresa,2016,Não,até 5 funcionários,52,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Anual,0,Cartão de crédito - pagamento único,21.0,1107.2,Não
Micro empresa,2005,Sim,até 5 funcionários,25,Sim,Não ,manual,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Mês-a-mês,1,Boleto - pagamento único,98.5,2514.5,Sim
Pequena empresa,2021,Não,até 5 funcionários,1,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Mês-a-mês,0,Boleto - mês a mês,20.2,20.2,Não
Micro empresa,2016,Sim,6 ou mais funcionários,1,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Mês-a-mês,0,Boleto - pagamento único,19.45,19.45,Não
Pequena empresa,2018,Não,até 5 funcionários,38,Sim,Sim,manual,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Pouco uso,Trimestral,0,Cartão de crédito - pagamento único,95.0,3605.6,Não
Micro empresa,2012,Sim,até 5 funcionários,66,Não,,automática,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Pouco uso,Trimestral,0,Cartão de crédito - pagamento único,45.55,3027.25,Não
Pequena empresa,2018,Sim,até 5 funcionários,68,Sim,Sim,manual,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Anual,1,Cartão de crédito - pagamento único,110.0,7611.85,Sim
Pequena empresa,2017,Não,até 5 funcionários,5,Não,,automática,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,0,Boleto - mês a mês,24.3,100.2,Não
Micro empresa,2018,Sim,6 ou mais funcionários,72,Sim,Sim,manual,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Trimestral,1,Boleto - pagamento único,104.15,7303.05,Não
Micro empresa,2018,Não,até 5 funcionários,32,Não,,automática,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Trimestral,0,Boleto - mês a mês,30.15,927.65,Não
Pequena empresa,2017,Não,até 5 funcionários,43,Sim,Sim,manual,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Trimestral,0,Boleto - mês a mês,94.35,3921.3,Não
Pequena empresa,2018,Sim,6 ou mais funcionários,72,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Anual,0,Cartão de crédito - mês a mês,19.4,1363.25,Não
Pequena empresa,2021,Sim,até 5 funcionários,55,Sim,Sim,manual,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Mês-a-mês,1,Boleto - pagamento único,96.75,5238.9,Sim
Micro empresa,2017,Não,até 5 funcionários,52,Sim,Não ,automática,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Trimestral,0,Cartão de crédito - mês a mês,57.95,3042.25,Não
Micro empresa,2021,Não,até 5 funcionários,43,Sim,Não ,manual,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Pouco uso,Mês-a-mês,1,Boleto - pagamento único,91.65,3954.1,Não
Micro empresa,2004,Sim,até 5 funcionários,37,Sim,Sim,manual,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,1,Boleto - pagamento único,76.5,2868.15,Sim
Micro empresa,2018,Sim,6 ou mais funcionários,64,Não,,automática,Pouco uso,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Anual,1,Boleto - pagamento único,54.6,3423.5,Não
Pequena empresa,2019,Sim,6 ou mais funcionários,3,Sim,Não ,manual,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Mês-a-mês,0,Boleto - pagamento único,89.85,248.4,Não
Micro empresa,2019,Não,até 5 funcionários,36,Não,,automática,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Anual,0,Cartão de crédito - pagamento único,31.05,1126.35,Não
