ID,Tipo de empresa,Fundação da empresa,Possui mais de um sócio,Funcionários,Meses de permanência ,Utiliza serviços financeiros,PossuiContador,Faz conciliação bancária,Frequência de utilização de feature do sistema: Módulo financeiro,Frequência de utilização de feature do sistema: Emissão de nota fiscal,Frequência de utilização de feature do sistema: Integração bancária,Frequência de utilização de feature do sistema: Módulo de vendas,Frequência de utilização de feature do sistema: Relatórios,Frequência de utilização de feature do sistema: Utilização de APIs de integração,Contrato,Emite boletos,Emite boletos,Tipo de pagamento,Receita mensal,Receita total,Churn
20,Micro empresa,2016,Não,até 5 funcionários,21,Sim,Não ,manual,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Mês-a-mês,1,Yes,Boleto - pagamento único,"R$ 90,05","R$ 1.862,90",Não
21,Pequena empresa,2011,Não,até 5 funcionários,1,Não,NaN,automática,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Mês-a-mês,1,Yes,Boleto - pagamento único,"R$ 39,65","R$ 39,65",Sim
22,Pequena empresa,2021,Sim,até 5 funcionários,12,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Trimestral,0,No,Cartão de crédito - pagamento único,"R$ 19,80","R$ 202,25",Não
23,Pequena empresa,2018,Não,até 5 funcionários,1,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Mês-a-mês,0,No,Boleto - mês a mês,"R$ 20,15","R$ 20,15",Sim
24,Micro empresa,2019,Sim,até 5 funcionários,58,Sim,Sim,automática,Pouco uso,Uso frequente,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Anual,1,Yes,Cartão de crédito - mês a mês,"R$ 59,90","R$ 3.505,10",Não
25,Pequena empresa,2016,Sim,6 ou mais funcionários,49,Sim,Não ,automática,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Mês-a-mês,0,No,Cartão de crédito - mês a mês,"R$ 59,60","R$ 2.970,30",Não
26,Micro empresa,2021,Não,até 5 funcionários,30,Sim,Não ,automática,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,1,Yes,Cartão de crédito - pagamento único,"R$ 55,30","R$ 1.530,60",Não
27,Pequena empresa,2020,Sim,6 ou mais funcionários,47,Sim,Sim,manual,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Mês-a-mês,1,Yes,Boleto - pagamento único,"R$ 99,35","R$ 4.749,15",Sim
28,Pequena empresa,2021,Sim,6 ou mais funcionários,1,Não,NaN,automática,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,0,No,Boleto - pagamento único,"R$ 30,20","R$ 30,20",Sim
29,Pequena empresa,2016,Sim,até 5 funcionários,72,Sim,Sim,automática,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Anual,1,Yes,Cartão de crédito - mês a mês,"R$ 90,25","R$ 6.369,45",Não
30,Micro empresa,2018,Não,6 ou mais funcionários,17,Sim,Não ,automática,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Mês-a-mês,1,Yes,Boleto - mês a mês,"R$ 64,70","R$ 1.093,10",Sim
31,Micro empresa,2008,Sim,até 5 funcionários,71,Sim,Sim,manual,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Anual,1,Yes,Cartão de crédito - mês a mês,"R$ 96,35","R$ 6.766,95",Não
32,Pequena empresa,2005,Sim,até 5 funcionários,2,Sim,Não ,manual,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Mês-a-mês,1,Yes,Cartão de crédito - mês a mês,"R$ 95,50","R$ 181,65",Não
33,Micro empresa,2020,Sim,6 ou mais funcionários,27,Sim,Não ,automática,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Trimestral,0,No,Boleto - mês a mês,"R$ 66,15","R$ 1.874,45",Não
34,Pequena empresa,2018,Não,até 5 funcionários,1,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Mês-a-mês,0,No,Cartão de crédito - pagamento único,"R$ 20,20","R$ 20,20",Não
35,Pequena empresa,2004,Não,até 5 funcionários,1,Sim,Não ,automática,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,0,No,Cartão de crédito - pagamento único,"R$ 45,25","R$ 45,25",Não
36,Micro empresa,2019,Sim,6 ou mais funcionários,72,Sim,Sim,manual,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Anual,0,No,Cartão de crédito - pagamento único,"R$ 99,90","R$ 7.251,70",Não
37,Pequena empresa,2016,Não,até 5 funcionários,5,Sim,Não ,manual,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,1,Yes,Boleto - pagamento único,"R$ 69,70","R$ 316,90",Sim
38,Micro empresa,2021,Não,até 5 funcionários,46,Sim,Não ,manual,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,1,Yes,Cartão de crédito - mês a mês,"R$ 74,80","R$ 3.548,30",Não
39,Pequena empresa,2018,Não,até 5 funcionários,34,Sim,Sim,manual,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Mês-a-mês,1,Yes,Boleto - pagamento único,"R$ 106,35","R$ 3.549,25",Sim
40,Micro empresa,2021,Não,até 5 funcionários,11,Sim,Sim,manual,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Mês-a-mês,1,Yes,Cartão de crédito - pagamento único,"R$ 97,85","R$ 1.105,40",Sim
41,Pequena empresa,2021,Sim,6 ou mais funcionários,10,Sim,Não ,automática,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Trimestral,0,No,Boleto - mês a mês,"R$ 49,55","R$ 475,70",Não
42,Micro empresa,2018,Sim,6 ou mais funcionários,70,Sim,Sim,automática,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Anual,1,Yes,Cartão de crédito - mês a mês,"R$ 69,20","R$ 4.872,35",Não
43,Micro empresa,2019,Sim,6 ou mais funcionários,17,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Trimestral,0,No,Boleto - mês a mês,"R$ 20,75","R$ 418,25",Não
44,Micro empresa,2016,Não,até 5 funcionários,63,Sim,Sim,automática,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Pouco uso,Anual,1,Yes,Cartão de crédito - mês a mês,"R$ 79,85","R$ 4.861,45",Não
45,Micro empresa,2019,Sim,até 5 funcionários,13,Sim,Sim,automática,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Mês-a-mês,1,Yes,Boleto - pagamento único,"R$ 76,20","R$ 981,45",Não
46,Micro empresa,2016,Não,até 5 funcionários,49,Sim,Sim,manual,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Mês-a-mês,1,Yes,Boleto - pagamento único,"R$ 84,50","R$ 3.906,70",Não
47,Pequena empresa,2017,Não,até 5 funcionários,2,Sim,Não ,automática,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,0,No,Boleto - mês a mês,"R$ 49,25","R$ 97,00",Não
48,Micro empresa,2020,Não,até 5 funcionários,2,Sim,Não ,manual,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Mês-a-mês,1,Yes,Boleto - pagamento único,"R$ 80,65","R$ 144,15",Sim
49,Pequena empresa,2021,Não,até 5 funcionários,52,Sim,Sim,automática,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Anual,1,Yes,Cartão de crédito - mês a mês,"R$ 79,75","R$ 4.217,80",Não
50,Micro empresa,2019,Sim,6 ou mais funcionários,69,Sim,Sim,automática,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Anual,1,Yes,Cartão de crédito - mês a mês,"R$ 64,15","R$ 4.254,10",Não
51,Micro empresa,2011,Não,até 5 funcionários,43,Sim,Sim,manual,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Mês-a-mês,1,Yes,Boleto - pagamento único,"R$ 90,25","R$ 3.838,75",Não
52,Micro empresa,2016,Não,até 5 funcionários,15,Sim,Não ,manual,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Mês-a-mês,1,Yes,Cartão de crédito - mês a mês,"R$ 99,10","R$ 1.426,40",Sim
53,Micro empresa,2007,Sim,até 5 funcionários,25,Sim,Sim,automática,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Mês-a-mês,1,Yes,Cartão de crédito - mês a mês,"R$ 69,50","R$ 1.752,65",Não
54,Micro empresa,2012,Sim,até 5 funcionários,8,Sim,Sim,manual,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,1,Yes,Cartão de crédito - mês a mês,"R$ 80,65","R$ 633,30",Sim
55,Micro empresa,2004,Sim,6 ou mais funcionários,60,Sim,Não ,automática,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Trimestral,1,Yes,Cartão de crédito - mês a mês,"R$ 74,85","R$ 4.456,35",Não
56,Pequena empresa,2008,Não,até 5 funcionários,18,Sim,Sim,manual,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Mês-a-mês,1,Yes,Boleto - pagamento único,"R$ 95,45","R$ 1.752,55",Sim
57,Micro empresa,2019,Sim,6 ou mais funcionários,63,Sim,Sim,manual,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Trimestral,1,Yes,Cartão de crédito - mês a mês,"R$ 99,65","R$ 6.311,20",Não
58,Pequena empresa,2001,Sim,6 ou mais funcionários,66,Sim,Sim,manual,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Trimestral,1,Yes,Boleto - pagamento único,"R$ 108,45","R$ 7.076,35",Não
59,Micro empresa,2019,Sim,6 ou mais funcionários,34,Sim,Sim,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Anual,0,No,Cartão de crédito - mês a mês,"R$ 24,95","R$ 894,30",Não
60,Micro empresa,2021,Não,até 5 funcionários,72,Sim,Sim,manual,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Anual,1,Yes,Cartão de crédito - mês a mês,"R$ 107,50","R$ 7.853,70",Não
61,Micro empresa,2018,Sim,até 5 funcionários,47,Sim,Sim,manual,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Mês-a-mês,1,Yes,Boleto - pagamento único,"R$ 100,50","R$ 4.707,10",Não
62,Pequena empresa,2019,Não,até 5 funcionários,60,Sim,Sim,manual,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Mês-a-mês,1,Yes,Cartão de crédito - pagamento único,"R$ 89,90","R$ 5.450,70",Não
63,Pequena empresa,2021,Sim,até 5 funcionários,72,Não,NaN,automática,Uso frequente,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Anual,0,No,Cartão de crédito - pagamento único,"R$ 42,10","R$ 2.962,00",Não
64,Micro empresa,2020,Sim,6 ou mais funcionários,18,Sim,Não ,automática,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Trimestral,1,Yes,Cartão de crédito - mês a mês,"R$ 54,40","R$ 957,10",Não
65,Micro empresa,2017,Não,até 5 funcionários,9,Sim,Sim,manual,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Mês-a-mês,0,No,Boleto - pagamento único,"R$ 94,40","R$ 857,25",Sim
66,Micro empresa,2016,Não,até 5 funcionários,3,Sim,Não ,automática,Pouco uso,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Mês-a-mês,1,Yes,Boleto - pagamento único,"R$ 75,30","R$ 244,10",Não
67,Pequena empresa,2019,Sim,até 5 funcionários,47,Sim,Sim,manual,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Trimestral,1,Yes,Boleto - pagamento único,"R$ 78,90","R$ 3.650,35",Não
68,Micro empresa,2016,Não,até 5 funcionários,31,Sim,Não ,automática,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Anual,0,No,Boleto - mês a mês,"R$ 79,20","R$ 2.497,20",Não
69,Micro empresa,2019,Sim,6 ou mais funcionários,50,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Anual,0,No,Cartão de crédito - pagamento único,"R$ 20,15","R$ 930,90",Não
70,Pequena empresa,2017,Não,até 5 funcionários,10,Sim,Não ,manual,Uso frequente,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,1,Yes,Boleto - mês a mês,"R$ 79,85","R$ 887,35",Não
71,Pequena empresa,2021,Não,até 5 funcionários,1,Sim,Não ,automática,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Mês-a-mês,0,No,Boleto - mês a mês,"R$ 49,05","R$ 49,05",Não
72,Micro empresa,2017,Sim,6 ou mais funcionários,52,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Trimestral,1,Yes,Boleto - pagamento único,"R$ 20,40","R$ 1.090,65",Não
73,Pequena empresa,2009,Sim,6 ou mais funcionários,64,Sim,Sim,manual,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Anual,1,Yes,Cartão de crédito - pagamento único,"R$ 111,60","R$ 7.099,00",Não
74,Pequena empresa,2018,Sim,6 ou mais funcionários,62,Sim,Sim,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Anual,1,Yes,Cartão de crédito - pagamento único,"R$ 24,25","R$ 1.424,60",Não
75,Micro empresa,2021,Não,6 ou mais funcionários,3,Sim,Não ,automática,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Uso frequente,Mês-a-mês,1,Yes,Cartão de crédito - pagamento único,"R$ 64,50","R$ 177,40",Não
76,Micro empresa,2007,Não,até 5 funcionários,56,Sim,Sim,manual,Uso frequente,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Trimestral,0,No,Boleto - pagamento único,"R$ 110,50","R$ 6.139,50",Não
77,Micro empresa,2020,Não,até 5 funcionários,46,Sim,Não ,automática,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Trimestral,0,No,Cartão de crédito - mês a mês,"R$ 55,65","R$ 2.688,85",Não
78,Micro empresa,2020,Sim,6 ou mais funcionários,8,Sim,Não ,automática,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,0,No,Boleto - mês a mês,"R$ 54,65","R$ 482,25",Não
79,Pequena empresa,2008,Não,até 5 funcionários,30,Sim,Não ,automática,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Mês-a-mês,1,Yes,Boleto - pagamento único,"R$ 74,75","R$ 2.111,30",Não
80,Micro empresa,2020,Sim,6 ou mais funcionários,45,Sim,Sim,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Trimestral,1,Yes,Cartão de crédito - mês a mês,"R$ 25,90","R$ 1.216,60",Não
81,Micro empresa,2019,Não,6 ou mais funcionários,1,Sim,Não ,manual,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Mês-a-mês,1,Yes,Boleto - pagamento único,"R$ 79,35","R$ 79,35",Sim
82,Micro empresa,2020,Sim,6 ou mais funcionários,11,Não,NaN,automática,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Mês-a-mês,0,No,Boleto - pagamento único,"R$ 50,55","R$ 565,35",Não
83,Micro empresa,2018,Sim,até 5 funcionários,7,Sim,Não ,manual,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,1,Yes,Cartão de crédito - pagamento único,"R$ 75,15","R$ 496,90",Sim
84,Micro empresa,2020,Não,até 5 funcionários,42,Sim,Não ,manual,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Mês-a-mês,1,Yes,Cartão de crédito - pagamento único,"R$ 103,80","R$ 4.327,50",Não
85,Micro empresa,2016,Sim,até 5 funcionários,49,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Anual,1,Yes,Cartão de crédito - pagamento único,"R$ 20,15","R$ 973,35",Não
86,Pequena empresa,2017,Não,até 5 funcionários,9,Sim,Sim,manual,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Mês-a-mês,1,Yes,Cartão de crédito - mês a mês,"R$ 99,30","R$ 918,75",Não
87,Micro empresa,2020,Sim,até 5 funcionários,35,Sim,Não ,automática,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Trimestral,1,Yes,Cartão de crédito - pagamento único,"R$ 62,15","R$ 2.215,45",Não
88,Micro empresa,2017,Sim,6 ou mais funcionários,48,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Anual,0,No,Cartão de crédito - pagamento único,"R$ 20,65","R$ 1.057,00",Não
89,Micro empresa,2016,Sim,6 ou mais funcionários,46,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Anual,1,Yes,Boleto - mês a mês,"R$ 19,95","R$ 927,10",Não
90,Pequena empresa,2018,Sim,até 5 funcionários,29,Não,NaN,automática,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Mês-a-mês,0,No,Boleto - mês a mês,"R$ 33,75","R$ 1.009,25",Não
91,Pequena empresa,2021,Sim,6 ou mais funcionários,30,Sim,Não ,manual,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,0,No,Cartão de crédito - pagamento único,"R$ 82,05","R$ 2.570,20",Não
92,Pequena empresa,2013,Não,até 5 funcionários,1,Sim,Não ,manual,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Mês-a-mês,0,No,Boleto - pagamento único,"R$ 74,70","R$ 74,70",Não
93,Pequena empresa,2016,Sim,6 ou mais funcionários,66,Sim,Sim,automática,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Anual,1,Yes,Boleto - mês a mês,"R$ 84,00","R$ 5.714,25",Não
94,Micro empresa,2018,Não,até 5 funcionários,65,Sim,Sim,manual,Uso frequente,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Mês-a-mês,1,Yes,Cartão de crédito - mês a mês,"R$ 111,05","R$ 7.107,00",Não
95,Pequena empresa,2017,Não,até 5 funcionários,72,Sim,Sim,manual,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Anual,1,Yes,Cartão de crédito - pagamento único,"R$ 100,90","R$ 7.459,05",Não
96,Micro empresa,2019,Não,até 5 funcionários,12,Sim,Sim,manual,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,1,Yes,Boleto - pagamento único,"R$ 78,95","R$ 927,35",Sim
97,Pequena empresa,2020,Sim,6 ou mais funcionários,71,Sim,Sim,automática,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Trimestral,1,Yes,Cartão de crédito - mês a mês,"R$ 66,85","R$ 4.748,70",Não
98,Pequena empresa,2019,Não,até 5 funcionários,5,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Mês-a-mês,0,No,Boleto - mês a mês,"R$ 21,05","R$ 113,85",Sim
99,Pequena empresa,2016,Não,até 5 funcionários,52,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Anual,0,No,Cartão de crédito - pagamento único,"R$ 21,00","R$ 1.107,20",Não
100,Micro empresa,2005,Sim,até 5 funcionários,25,Sim,Não ,manual,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Mês-a-mês,1,Yes,Boleto - pagamento único,"R$ 98,50","R$ 2.514,50",Sim
101,Pequena empresa,2021,Não,até 5 funcionários,1,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Mês-a-mês,0,No,Boleto - mês a mês,"R$ 20,20","R$ 20,20",Não
102,Micro empresa,2016,Sim,6 ou mais funcionários,1,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Mês-a-mês,0,No,Boleto - pagamento único,"R$ 19,45","R$ 19,45",Não
103,Pequena empresa,2018,Não,até 5 funcionários,38,Sim,Sim,manual,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Pouco uso,Trimestral,0,No,Cartão de crédito - pagamento único,"R$ 95,00","R$ 3.605,60",Não
